seed,training_time,model_path,model_name,type,latent,salient,mse,dist_centroid_zg,dist_centroid_zs,mean_radius_zg,mean_radius_zs,acc_rec_no_target_max_NORM,acc_cf_no_target_max_NORM,acc_cf_all_max_NORM,l1_max_original_NORM,l2_max_original_NORM,linf_max_original_NORM,l1_max_reconstruction_NORM,l2_max_reconstruction_NORM,linf_max_reconstruction_NORM,inf_time_mode_3,inf_time_sub_3,inf_time_median_3,mean_lime_changed_max,mean_lime_unchanged_max,sparsity_orig_cf_max_NORM,sparsity_rec_cf_max_NORM,acc_rec_no_target_sub_NORM,acc_cf_no_target_sub_NORM,acc_cf_all_sub_NORM,l1_sub_original_NORM,l2_sub_original_NORM,linf_sub_original_NORM,l1_sub_reconstruction_NORM,l2_sub_reconstruction_NORM,linf_sub_reconstruction_NORM,mean_lime_changed_sub,mean_lime_unchanged_sub,sparsity_orig_cf_sub_NORM,sparsity_rec_cf_sub_NORM,acc_rec_no_target_med_NORM,acc_cf_no_target_med_NORM,acc_cf_all_med_NORM,l1_med_original_NORM,l2_med_original_NORM,linf_med_original_NORM,l1_med_reconstruction_NORM,l2_med_reconstruction_NORM,linf_med_reconstruction_NORM,mean_lime_changed_med,mean_lime_unchanged_med,sparsity_orig_cf_med_NORM,sparsity_rec_cf_med_NORM,dist_centroid_z,mean_radius_z
1,6473.707740306854,../../../data/ltsaot6/models/contrastive_vae/ld16/vae_ld-16_contrastive_salient-12_rs-1,vae_ld-16_contrastive_salient-12_rs-1,contrastive_vae,16,12,0.019409541739150882,1.6900229454040527,0.6682288646697998,3.0973319582743666,1.948078188782001,0.31357486814950697,0.9902545287778033,0.9926689122250842,0.5708147287368774,1.0099055767059326,7.308815956115723,0.42942625284194946,0.6412461996078491,5.864365577697754,4.312201776385472e-05,6.635868835146885e-05,2.6983043554003824e-05,0.1824425727456559,0.1518807739801812,0.401342914795368,0.5343040824238271,0.31357486814950697,0.9950699380875946,0.9970279373885477,0.5738705396652222,1.0224210023880005,7.32434606552124,0.43121159076690674,0.653002142906189,5.884597301483154,0.18265132183372282,0.15157365372046636,0.405255980072045,0.5410514858249125,0.31357486814950697,0.982687457005274,0.9859322369724589,0.5613730549812317,0.9951654672622681,7.3059492111206055,0.41710731387138367,0.6266300082206726,5.862008094787598,0.18430887825581796,0.15123141923513989,0.41130287192749265,0.5532742223102833,,
2,3713.8721528053284,../../../data/ltsaot6/models/contrastive_vae/ld16/vae_ld-16_contrastive_salient-12_rs-2,vae_ld-16_contrastive_salient-12_rs-2,contrastive_vae,16,12,0.02045740350149572,1.4627541303634644,0.6797125339508057,2.9252666520113695,1.979513409887142,0.28823664297179546,0.9977069479477184,0.9979525790898884,0.5663667917251587,1.0172309875488281,7.335386753082275,0.41968461871147156,0.6441104412078857,5.812004089355469,4.090773729405341e-05,5.865421424917623e-05,2.695413288025503e-05,0.18422020086486554,0.15146069588286679,0.41585072540343,0.5610050894852278,0.28823664297179546,0.9981655583581748,0.998745129119609,0.5819108486175537,1.0664111375808716,7.412332057952881,0.4349849820137024,0.692570686340332,5.927531719207764,0.18244861225587047,0.15250189798494604,0.41270821637716576,0.5601667029574775,0.28823664297179546,0.9933501490483834,0.9941219206129054,0.5591337084770203,1.00237238407135,7.301802635192871,0.41092902421951294,0.6295526623725891,5.756178379058838,0.18662054973771017,0.15061246674629025,0.42250019951346235,0.5726895696081831,,
3,2381.610770702362,../../../data/ltsaot6/models/contrastive_vae/ld16/vae_ld-16_contrastive_salient-12_rs-3,vae_ld-16_contrastive_salient-12_rs-3,contrastive_vae,16,12,0.021255693398416042,1.5722414255142212,0.8294941782951355,3.0403716599279,2.3457613864453806,0.2647328594359092,0.9964457693189636,0.9972260748959778,0.5660008788108826,1.0120515823364258,7.32676887512207,0.42327332496643066,0.6314778923988342,5.7333149909973145,4.1390731354999336e-05,5.694837427211716e-05,2.707009050633679e-05,0.1840732946892806,0.1509972507922899,0.41443366383770336,0.5483440038636814,0.2647328594359092,0.9996560421921578,0.9996697708209498,0.6328400373458862,1.1172281503677368,7.315638065338135,0.5012872815132141,0.7316339015960693,5.687898635864258,0.17834891536634132,0.15154898468121455,0.3602502793188473,0.46202031201841576,0.2647328594359092,0.9670947030497592,0.972128657288158,0.5667833089828491,1.0085256099700928,7.298915386199951,0.42428696155548096,0.6270010471343994,5.688055992126465,0.18428342285524865,0.15068154384050178,0.4120608940886225,0.5435795234861744,,
4,4385.4748775959015,../../../data/ltsaot6/models/contrastive_vae/ld16/vae_ld-16_contrastive_salient-12_rs-4,vae_ld-16_contrastive_salient-12_rs-4,contrastive_vae,16,12,0.020228165900334716,1.8606696128845215,0.6743244528770447,3.496180184878892,1.9283119508825552,0.3037147443246962,0.9572345792249484,0.9580608942606169,0.5741217732429504,1.0278408527374268,7.3723602294921875,0.4347533881664276,0.6710975170135498,5.959142208099365,4.25690932551319e-05,6.332623266526583e-05,2.7014883086857884e-05,0.18250734109071326,0.15155218649198196,0.4024612221506726,0.5301430227734297,0.3037147443246962,0.9808530153634487,0.9834224952116769,0.5993551015853882,1.0673433542251587,7.383633613586426,0.465411901473999,0.7110248804092407,5.965071201324463,0.17992523330257199,0.15200632881416332,0.38323943301025915,0.49726531111028555,0.3037147443246962,0.9357945425361156,0.9381150518459811,0.5721402764320374,1.0202559232711792,7.360118865966797,0.4331960082054138,0.6637263894081116,5.940730571746826,0.1825136398732418,0.15167900866122824,0.4017391038130462,0.5284464058681725,,
0,1631.7449419498444,../../../data/ltsaot6/models/contrastive_vae/ld16/vae_ld-16_contrastive_salient-14_rs-0,vae_ld-16_contrastive_salient-14_rs-0,contrastive_vae,16,14,0.023258822970092297,1.5037667751312256,0.9971468448638916,2.206183022978085,3.000739280876412,0.22689750057326302,0.9943820224719101,0.9955749290007265,0.5551109313964844,0.9831916093826294,7.2692389488220215,0.3923664093017578,0.5354243516921997,5.253090858459473,3.6981050534037665e-05,5.062693578313076e-05,2.7167766382842105e-05,0.18631538107012371,0.15071126048603203,0.4169906610500187,0.5679305500517359,0.22689750057326302,0.9997706947947719,0.9998679083283799,0.6178886890411377,1.0811188220977783,7.245535850524902,0.46846070885658264,0.6368319988250732,5.230364799499512,0.17934589158402547,0.15226394446887742,0.3692508518880853,0.4865389255924862,0.22689750057326302,0.9966750745241917,0.9972260748959778,0.5545077919960022,0.981951117515564,7.268564701080322,0.3924066126346588,0.5341818332672119,5.252960681915283,0.18555014321426466,0.15114853663075817,0.4176233208190234,0.5685049467299056,,
1,3850.687776327133,../../../data/ltsaot6/models/contrastive_vae/ld16/vae_ld-16_contrastive_salient-14_rs-1,vae_ld-16_contrastive_salient-14_rs-1,contrastive_vae,16,14,0.02069798274897039,1.5395433902740479,0.6824175119400024,2.2005029930756295,2.0821620109834496,0.27677138271038754,0.9993120843843155,0.9992734958060894,0.5836350321769714,1.0255166292190552,7.247744560241699,0.4392773509025574,0.6287161111831665,5.594726085662842,4.614263204120202e-05,7.224446692182353e-05,2.702141790690459e-05,0.18053423035883562,0.15252403114787122,0.3846245681221518,0.5039169996477555,0.27677138271038754,1.0,1.0,0.6098267436027527,1.070976734161377,7.242461681365967,0.46788543462753296,0.6751920580863953,5.598996639251709,0.17948292086924578,0.15267190294128619,0.3745457628844418,0.49161933811752856,0.27677138271038754,1.0,1.0,0.5752820372581482,1.0105398893356323,7.234156131744385,0.4287532567977905,0.6140447854995728,5.577592372894287,0.18205536858148594,0.15190032010135793,0.392527730651322,0.5179692831825287,,
2,3731.259278535843,../../../data/ltsaot6/models/contrastive_vae/ld16/vae_ld-16_contrastive_salient-14_rs-2,vae_ld-16_contrastive_salient-14_rs-2,contrastive_vae,16,14,0.02085765451192856,1.05531907081604,0.7073599100112915,1.8350124516102602,2.120265306457718,0.2920201788580601,0.9486356340288925,0.9521167690377121,0.5794888138771057,1.046362280845642,7.325096130371094,0.4362001121044159,0.6659359335899353,5.770988464355469,4.254841802929739e-05,6.423515527426791e-05,2.704398271925863e-05,0.18245862174083172,0.1525744435847769,0.4043759924074808,0.539305098050547,0.2920201788580601,0.9803944049529925,0.98731919952447,0.5882183313369751,1.0628995895385742,7.366459369659424,0.44496750831604004,0.6822115182876587,5.846686363220215,0.1813168541452125,0.15274875715821068,0.40045879926606565,0.5351236140694142,0.2920201788580601,0.8185049300619124,0.8235915725513506,0.5743303894996643,1.0225579738616943,7.250918865203857,0.43222570419311523,0.6429998874664307,5.672005653381348,0.1841188755361943,0.15112810359047665,0.4040868698814477,0.5343574436752856,,
3,4145.906253814697,../../../data/ltsaot6/models/contrastive_vae/ld16/vae_ld-16_contrastive_salient-14_rs-3,vae_ld-16_contrastive_salient-14_rs-3,contrastive_vae,16,14,0.02032862906344235,1.901556372642517,0.7232807874679565,2.6973682122133935,2.180195310687924,0.2845677596881449,0.9787892685163954,0.979789974242124,0.5760226845741272,1.0055087804794312,7.222063064575195,0.442454993724823,0.6409698128700256,5.6623735427856445,4.3825715530281626e-05,6.670967904747134e-05,2.7107834997064378e-05,0.1791267393346541,0.1532937735480609,0.38354007915868615,0.48993912517474625,0.2845677596881449,0.9746617748222884,0.97470444488475,0.6914060711860657,1.2219150066375732,7.225272178649902,0.5742887854576111,0.8559073209762573,5.659435749053955,0.1770353609246665,0.15133995804720363,0.3314388799107831,0.4154587932462629,0.2845677596881449,0.8749140105480394,0.8786737996169341,0.5722997784614563,1.0029211044311523,7.2142839431762695,0.43586528301239014,0.6373505592346191,5.637486457824707,0.1814075360559976,0.15242792108704414,0.3926472022364771,0.5078494572889836,,
4,4375.562519311905,../../../data/ltsaot6/models/contrastive_vae/ld16/vae_ld-16_contrastive_salient-14_rs-4,vae_ld-16_contrastive_salient-14_rs-4,contrastive_vae,16,14,0.02097334247082472,1.6963390111923218,0.7028900980949402,2.532320831911316,2.128418501842653,0.29385462049988537,0.9948406328823665,0.9968958457169276,0.560283362865448,1.005758285522461,7.316008567810059,0.4187999665737152,0.646887481212616,5.874194145202637,4.907797872685558e-05,7.905932369072192e-05,2.7004821038641392e-05,0.18474306096696902,0.15110639413748264,0.4116404538656077,0.5463487617437752,0.29385462049988537,0.9865856454941527,0.9912159038372631,0.5978336334228516,1.054573655128479,7.296084403991699,0.46608293056488037,0.6960622668266296,5.842300891876221,0.17983531518007598,0.15227661094102302,0.3769125558293706,0.482549924804064,0.29385462049988537,0.9746617748222884,0.9766858199590516,0.5677098631858826,1.0084104537963867,7.2916951179504395,0.4292222261428833,0.6491366028785706,5.837215423583984,0.18287169248236493,0.1515314871985646,0.4009689560492482,0.523488990812749,,
0,4030.978879928589,../../../data/ltsaot6/models/contrastive_vae/ld16/vae_ld-16_contrastive_salient-2_rs-0,vae_ld-16_contrastive_salient-2_rs-0,contrastive_vae,16,2,0.02064266544766724,2.274491548538208,0.4417169988155365,6.6781127208601445,0.7224587373759367,0.28445310708553084,0.9109149277688604,0.9471633313519583,0.39346054196357727,0.47238534688949585,4.111982822418213,0.17765402793884277,0.1401831954717636,1.6864186525344849,2.9403981802824285e-05,3.255104091143673e-05,2.704158924300056e-05,0.19196214199996217,0.15773992459696368,0.5307347478837814,0.8149376331236378,0.28445310708553084,0.9141252006420546,0.9491447064262598,0.39365774393081665,0.4714411795139313,4.109316349029541,0.1783164143562317,0.13850341737270355,1.6793092489242554,0.19078411091060454,0.1578364341916337,0.529409316315523,0.8126571383508905,0.28445310708553084,0.9094244439348773,0.9463047354864276,0.39073774218559265,0.4661598801612854,4.087210655212402,0.17357781529426575,0.1335289478302002,1.6438827514648438,0.19137611793468454,0.15804142966429902,0.5326744358240869,0.8190065252941792,,
